q1,q2,q3,q4,q5,q6,q7,q8,q16
5,1,3,2,C,1.57,70.31,5,5
4,2,,1,A  DE,,,4,1
4,2,2,1,,1.7,61.69,5,4
4,2,2,1,,1.75,60.33,4,3
3,2,2,1,A  DE,1.9,88.91,5,2
4,1,2,2,B  E,,,5,1
4,2,2,1,,1.73,84.82,4,3
3,2,2,1,,1.6,49.9,5,1
4,2,2,1,,1.78,61.24,4,1
4,1,2,1,D,1.47,54.43,4,3
4,1,2,1,,,,3,1
4,1,2,1,A,,,3,1
4,2,2,1,E,1.98,60.78,4,1
4,2,2,1,A,1.63,44.45,5,1
4,2,2,1,B  E,1.73,64.86,5,1
4,1,2,1,A,1.63,59.88,5,1
4,2,2,1,A,1.65,47.63,5,1
4,2,2,1,,1.7,52.16,5,1
4,2,2,1,,1.68,58.97,5,1
4,2,2,1,,1.78,75.75,3,1
4,2,2,1,A,,,5,
4,1,2,2,E,1.55,86.18,5,1
4,2,2,1,E,1.65,49.9,3,1
4,2,2,1,,1.68,77.11,4,1
4,1,2,1,A,,,5,1
4,2,2,1,,1.65,84.82,5,1
4,2,2,2,E,1.63,49.9,5,1
4,2,2,1,,1.65,95.26,5,1
4,2,2,1,,1.68,53.98,5,1
4,1,2,1,E,1.6,48.08,5,1
4,2,2,1,A,1.6,71.22,4,1
4,2,1,1,,,,5,1
3,2,1,1,C,1.83,64.41,5,3
3,2,1,1,E,1.68,51.71,4,1
3,1,1,2,BC,1.52,49.9,5,2
3,2,1,2,C,1.8,81.65,2,1
3,2,1,1,,1.65,58.97,5,1
3,2,1,,A,1.73,47.63,5,1
3,2,1,1,,1.78,90.72,4,2
3,2,1,1,E,1.68,54.43,5,3
3,2,1,2,C,1.6,51.71,3,4
3,2,1,1,E,1.57,45.81,5,2
3,1,1,1,E,,,5,1
3,2,1,1,,1.7,72.58,5,1
3,2,1,1,E,1.73,74.39,5,1
3,2,1,2,C E,1.83,63.5,5,1
3,2,1,2,A,1.55,89.36,5,8
3,1,1,2,A C E,1.6,53.07,4,1
3,2,1,1,E,,,5,1
3,2,1,2,B,1.68,58.97,5,1
3,1,1,1,,1.52,58.97,4,1
3,1,1,1,,1.6,63.5,5,1
3,1,1,1,D,1.6,63.5,5,3
7,2,4,2,C,1.9,120.2,5,1
6,1,4,1,E,1.57,83.46,5,1
6,1,4,1,E,1.57,55.79,5,1
6,1,4,1,,1.6,81.65,5,2
6,2,4,2,,1.85,68.04,5,1
7,2,4,1,,,,5,1
6,1,4,2,E,1.68,70.31,5,1
7,1,4,1,E,1.55,56.7,5,1
7,2,4,1,,1.73,100.25,5,1
7,2,4,1,A,,,5,1
6,2,4,2,C,,,3,3
6,,4,2,C,,,5,1
6,2,4,2,C,,,5,1
6,1,4,1,C,1.68,81.65,5,1
6,2,4,1,,1.73,78.02,4,1
5,2,3,1,,1.78,80.74,5,1
6,1,3,1,E,1.52,82.1,5,1
5,2,3,1,E,1.8,71.67,5,1
5,2,3,2,C,1.78,66.68,2,1
5,1,3,1,D,1.63,74.84,5,1
4,1,3,1,AB,1.5,48.99,5,1
5,2,3,2,C,1.9,77.57,2,4
5,2,3,1,E,1.8,78.02,5,1
5,1,3,1,E,1.5,81.65,5,1
6,2,3,1,,1.63,67.59,5,1
5,1,3,1,E,1.63,70.76,4,1
5,2,3,2,C,,,3,1
5,1,3,1,,,,5,1
5,2,3,1,,,,5,1
6,1,3,1,,1.57,72.58,4,3
5,2,3,2,B  E,,,5,1
5,2,3,1,E,1.68,92.99,5,1
5,2,3,1,E,1.73,63.5,4,2
5,1,3,2,C,,,,1
3,2,1,2,B,1.75,44.91,5,1
3,2,1,1,C E,1.6,49.9,4,1
5,2,3,2,E,1.9,68.95,4,2
3,2,1,2,E,1.73,54.43,5,1
3,1,1,2,E,,,5,1
3,1,1,2,E,1.63,57.61,5,1
4,1,2,1,A,,,5,1
4,1,2,2,E,1.6,68.04,5,1
4,1,2,1,E,1.68,71.67,,1
4,1,2,2,E,1.78,129.28,4,1
4,1,2,2,E,1.6,56.7,5,1
4,1,2,1,A,1.55,58.97,4,1
4,2,2,1,E,1.7,67.13,5,1
4,1,2,2,E,1.63,82.1,5,1
5,1,2,2,,1.75,61.24,5,1
4,1,2,2,E,1.8,76.66,5,1
5,1,2,2,B,1.52,54.43,5,2
4,1,2,2,D,1.6,56.7,5,3
4,1,2,2,E,,,4,1
4,2,2,2,E,1.83,90.72,5,1
5,2,2,1,,1.7,77.11,5,1
4,2,2,1,,1.75,52.16,5,1
4,2,2,2,E,1.83,65.77,5,1
4,2,2,2,E,1.93,77.11,5,3
4,1,2,2,E,,,5,1
3,2,1,1,D,1.57,43.55,4,1
4,2,2,2,E,1.7,61.24,5,1
6,2,4,1,E,1.83,64.86,5,1
4,1,2,2,E,1.7,117.94,4,2
4,2,2,2,E,1.7,65.77,4,1
4,2,2,2,B,1.75,56.7,5,8
4,1,2,1,,1.57,59.42,4,1
5,1,3,1,E,1.57,44.45,5,1
4,2,2,2,C E,1.73,63.5,5,1
4,2,2,2,C,1.6,54.43,4,4
6,1,4,,E,1.57,50.8,5,1
7,2,4,2,E,1.73,68.04,5,2
6,2,4,2,C E,1.8,129.28,5,4
3,2,1,2,E,1.7,56.7,4,1
3,1,1,1,,1.63,45.36,5,1
3,1,1,1,AB,,,5,1
3,1,1,1,E,1.57,70.31,5,1
3,1,1,2,B  E,1.65,68.04,5,1
3,2,1,2,E,1.8,62.14,5,1
3,2,1,2,C E,1.6,52.16,5,1
3,,1,1,A   E,,,1,1
3,1,1,1,,1.57,85.28,5,1
3,1,1,1,,1.52,54.43,4,1
5,2,4,2,C,1.78,75.75,4,1
3,2,1,2,DE,1.75,48.99,4,1
3,2,1,1,E,,,5,2
2,1,1,1,B DE,1.52,50.8,5,1
3,2,1,2,E,1.78,72.58,5,1
,,,,E,,,1,1
